urgent_surgeries,location,region,conventional_surgeries,health_centre,period,scheduled_surgeries,ambulatory_surgeries,year,month
216.0,"[40.9295, -8.54567]",Northern,581.0,"Unidade Local de Saúde de Entre Douro e Vouga, EPE",2025-01,2324,1743,2025,1
765.0,"[38.7169, -9.13654]",Lisbon and Tagus Valley,1243.0,"Unidade Local de Saúde de São José, EPE",2025-01,4177,2934,2025,1
168.0,"[38.568838, -7.903064]",Alentejo,379.0,"Unidade Local de Saúde do Alentejo Central, EPE",2025-01,1900,1521,2025,1
134.0,"[38.977344, -8.984882]",Lisbon and Tagus Valley,247.0,"Unidade Local de Saúde do Estuário do Tejo, EPE",2025-01,1159,912,2025,1
219.0,"[41.1971153671548, -8.0]",Northern,756.0,"Unidade Local de Saúde do Tâmega e Sousa, EPE",2025-01,2689,1933,2025,1
258.0,"[38.529351, -8.881073]",Lisbon and Tagus Valley,477.0,"Unidade Local de Saúde da Arrábida, EPE",2024-02,2926,2449,2024,2
124.0,"[40.5309943471486, -7.0]",Central,303.0,"Unidade Local de Saúde da Guarda, EPE",2024-02,724,421,2024,2
185.0,"[41.383183, -8.758784]",Northern,450.0,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE",2024-02,1209,759,2024,2
601.0,"[41.562328338623, -8.3]",Northern,1333.0,"Unidade Local de Saúde de Braga, EPE",2024-02,5473,4140,2024,2
375.0,"[40.6509, -7.91039]",Central,1145.0,"Unidade Local de Saúde de Dão-Lafões, EPE",2024-02,4293,3148,2024,2
520.0,"[38.7084, -9.21711]",Lisbon and Tagus Valley,1281.0,"Unidade Local de Saúde de Lisboa Ocidental, EPE",2024-02,3699,2418,2024,2
755.0,"[37.024668, -7.928949]",Algarve,996.0,"Unidade Local de Saúde do Algarve, EPE",2024-02,2945,1949,2024,2
381.0,"[41.697519, -8.832517]",Northern,705.0,"Unidade Local de Saúde do Alto Minho, EPE",2024-02,2725,2020,2024,2
91.0,"[38.739946, -9.161139]",Lisbon and Tagus Valley,911.0,"Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.",2025-02,1518,607,2025,2
446.0,"[38.7436332060551, -9.0]",Lisbon and Tagus Valley,889.0,"Unidade Local de Saúde de Amadora/Sintra, EPE",2025-02,3303,2414,2025,2
422.0,"[40.9295, -8.54567]",Northern,1016.0,"Unidade Local de Saúde de Entre Douro e Vouga, EPE",2025-02,4336,3320,2025,2
104.0,"[40.130297609, -8.8606]",Central,150.0,"Unidade Local de Saúde do Baixo Mondego, EPE",2025-02,1433,1283,2025,2
268.0,"[38.977344, -8.984882]",Lisbon and Tagus Valley,443.0,"Unidade Local de Saúde do Estuário do Tejo, EPE",2025-02,2205,1762,2025,2
238.0,"[41.802452, -6.768198]",Northern,350.0,"Unidade Local de Saúde do Nordeste, EPE",2025-02,1333,983,2025,2
586.0,"[38.730076, -9.418207]",Lisbon and Tagus Valley,482.0,"Hospital de Cascais, PPP",2024-03,2962,2480,2024,3
238.0,"[39.822737, -7.499876]",Central,742.0,"Unidade Local de Saúde Castelo Branco, EPE",2024-03,2198,1456,2024,3
411.0,"[38.529351, -8.881073]",Lisbon and Tagus Valley,716.0,"Unidade Local de Saúde da Arrábida, EPE",2024-03,4332,3616,2024,3
553.0,"[40.636332, -8.654388]",Central,1099.0,"Unidade Local de Saúde da Região de Aveiro, EPE",2024-03,3456,2357,2024,3
1630.0,"[40.217426, -8.410075]",Central,3596.0,"Unidade Local de Saúde de Coimbra, EPE",2024-03,11797,8201,2024,3
791.0,"[38.7084, -9.21711]",Lisbon and Tagus Valley,1909.0,"Unidade Local de Saúde de Lisboa Ocidental, EPE",2024-03,5533,3624,2024,3
415.0,"[41.181859, -8.663374]",Northern,943.0,"Unidade Local de Saúde de Matosinhos, EPE",2024-03,4636,3693,2024,3
157.0,"[40.130297609, -8.8606]",Central,372.0,"Unidade Local de Saúde do Baixo Mondego, EPE",2024-03,2094,1722,2024,3
134.0,"[38.739946, -9.161139]",Lisbon and Tagus Valley,1335.0,"Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.",2025-03,2257,922,2025,3
648.0,"[39.7418, -8.79444]",Central,947.0,"Unidade Local de Saúde da Região de Leiria, EPE",2025-03,5343,4396,2025,3
655.0,"[38.7436332060551, -9.0]",Lisbon and Tagus Valley,1295.0,"Unidade Local de Saúde de Amadora/Sintra, EPE",2025-03,4849,3554,2025,3
624.0,"[40.9295, -8.54567]",Northern,1817.0,"Unidade Local de Saúde de Entre Douro e Vouga, EPE",2025-03,6701,4884,2025,3
2181.0,"[38.7169, -9.13654]",Lisbon and Tagus Valley,3584.0,"Unidade Local de Saúde de São José, EPE",2025-03,11890,8306,2025,3
334.0,"[38.6527214050293, -9.0]",Lisbon and Tagus Valley,506.0,"Unidade Local de Saúde do Arco Ribeirinho, EPE",2025-03,1785,1279,2025,3
295.0,"[39.605565, -8.404399]",Lisbon and Tagus Valley,905.0,"Unidade Local de Saúde do Médio Tejo, EPE",2025-03,3074,2169,2025,3
54.0,"[40.217, -8.40991]",Central,787.0,"Instituto Português Oncologia  F. Gentil - Centro, E.P.E.",2024-04,1712,925,2024,4
828.0,"[38.67381, -9.17597]",Lisbon and Tagus Valley,1432.0,"Unidade Local de Saúde de Almada-Seixal, EPE",2024-04,6833,5401,2024,4
76.0,"[41.533438, -8.616604]",Northern,287.0,"Unidade Local de Saúde de Barcelos/Esposende, EPE",2024-04,2926,2639,2024,4
818.0,"[40.6509, -7.91039]",Central,2495.0,"Unidade Local de Saúde de Dão-Lafões, EPE",2024-04,8759,6264,2024,4
544.0,"[41.181859, -8.663374]",Northern,1240.0,"Unidade Local de Saúde de Matosinhos, EPE",2024-04,6071,4831,2024,4
2031.0,"[38.7500648498535, -9.0]",Lisbon and Tagus Valley,4716.0,"Unidade Local de Saúde de Santa Maria, EPE",2024-04,16902,12186,2024,4
688.0,"[41.310331, -7.760103]",Northern,1616.0,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE",2024-04,5863,4247,2024,4
1060.0,"[41.1254463195801, -8.0]",Northern,3641.0,"Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE",2024-04,11628,7987,2024,4
1499.0,"[37.024668, -7.928949]",Algarve,1956.0,"Unidade Local de Saúde do Algarve, EPE",2024-04,5859,3903,2024,4
695.0,"[41.488574, -8.338685]",Northern,2426.0,"Unidade Local de Saúde do Alto Ave, EPE",2024-04,6425,3999,2024,4
752.0,"[41.697519, -8.832517]",Northern,1449.0,"Unidade Local de Saúde do Alto Minho, EPE",2024-04,5456,4007,2024,4
485.0,"[38.0146, -7.86863]",Alentejo,547.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2024-04,1503,956,2024,4
250.0,"[38.039936, -8.731693]",Alentejo,507.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2024-04,2851,2344,2024,4
707.0,"[38.730076, -9.418207]",Lisbon and Tagus Valley,742.0,"Hospital de Cascais, PPP",2025-04,5745,5003,2025,4
836.0,"[40.6509, -7.91039]",Central,2492.0,"Unidade Local de Saúde de Dão-Lafões, EPE",2025-04,9335,6843,2025,4
671.0,"[41.310331, -7.760103]",Northern,1708.0,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE",2025-04,5908,4200,2025,4
671.0,"[38.568838, -7.903064]",Alentejo,1373.0,"Unidade Local de Saúde do Alentejo Central, EPE",2025-04,6885,5512,2025,4
1389.0,"[37.024668, -7.928949]",Algarve,1615.0,"Unidade Local de Saúde do Algarve, EPE",2025-04,4751,3136,2025,4
407.0,"[39.605565, -8.404399]",Lisbon and Tagus Valley,1199.0,"Unidade Local de Saúde do Médio Tejo, EPE",2025-04,4014,2815,2025,4
900.0,"[41.1971153671548, -8.0]",Northern,2900.0,"Unidade Local de Saúde do Tâmega e Sousa, EPE",2025-04,10146,7246,2025,4
1043.0,"[38.67381, -9.17597]",Lisbon and Tagus Valley,1819.0,"Unidade Local de Saúde de Almada-Seixal, EPE",2024-05,8618,6799,2024,5
728.0,"[38.821769, -9.176301]",Lisbon and Tagus Valley,1161.0,"Unidade Local de Saúde de Loures-Odivelas, EPE",2024-05,5351,4190,2024,5
854.0,"[41.310331, -7.760103]",Northern,2085.0,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE",2024-05,7445,5360,2024,5
231.0,"[39.2999, -7.4267]",Alentejo,605.0,"Unidade Local de Saúde do Alto Alentejo, EPE",2024-05,2546,1941,2024,5
272.0,"[40.130297609, -8.8606]",Central,629.0,"Unidade Local de Saúde do Baixo Mondego, EPE",2024-05,3608,2979,2024,5
536.0,"[39.605565, -8.404399]",Lisbon and Tagus Valley,1707.0,"Unidade Local de Saúde do Médio Tejo, EPE",2024-05,4861,3154,2024,5
1108.0,"[38.7436332060551, -9.0]",Lisbon and Tagus Valley,2244.0,"Unidade Local de Saúde de Amadora/Sintra, EPE",2025-05,8072,5828,2025,5
73.0,"[41.533438, -8.616604]",Northern,385.0,"Unidade Local de Saúde de Barcelos/Esposende, EPE",2025-05,4277,3892,2025,5
1578.0,"[41.562328338623, -8.3]",Northern,3893.0,"Unidade Local de Saúde de Braga, EPE",2025-05,16903,13010,2025,5
677.0,"[41.181859, -8.663374]",Northern,1471.0,"Unidade Local de Saúde de Matosinhos, EPE",2025-05,7561,6090,2025,5
867.0,"[41.310331, -7.760103]",Northern,2164.0,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE",2025-05,7575,5411,2025,5
639.0,"[38.0146, -7.86863]",Alentejo,711.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2025-05,1924,1213,2025,5
320.0,"[41.1811, -8.60469]",Northern,3161.0,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",2024-06,5601,2440,2024,6
1863.0,"[41.562328338623, -8.3]",Northern,4569.0,"Unidade Local de Saúde de Braga, EPE",2024-06,19344,14775,2024,6
3205.0,"[40.217426, -8.410075]",Central,6938.0,"Unidade Local de Saúde de Coimbra, EPE",2024-06,23672,16734,2024,6
4274.0,"[38.7169, -9.13654]",Lisbon and Tagus Valley,6786.0,"Unidade Local de Saúde de São José, EPE",2024-06,22565,15779,2024,6
272.0,"[39.2999, -7.4267]",Alentejo,725.0,"Unidade Local de Saúde do Alto Alentejo, EPE",2024-06,2983,2258,2024,6
840.0,"[38.977344, -8.984882]",Lisbon and Tagus Valley,851.0,"Unidade Local de Saúde do Estuário do Tejo, EPE",2024-06,5504,4653,2024,6
282.0,"[41.1811, -8.60469]",Northern,3076.0,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",2025-06,5996,2920,2025,6
1026.0,"[38.67381, -9.17597]",Lisbon and Tagus Valley,2341.0,"Unidade Local de Saúde de Almada-Seixal, EPE",2025-06,11403,9062,2025,6
3236.0,"[40.217426, -8.410075]",Central,7132.0,"Unidade Local de Saúde de Coimbra, EPE",2025-06,23912,16780,2025,6
805.0,"[41.181859, -8.663374]",Northern,1728.0,"Unidade Local de Saúde de Matosinhos, EPE",2025-06,8946,7218,2025,6
3397.0,"[38.7500648498535, -9.0]",Lisbon and Tagus Valley,6684.0,"Unidade Local de Saúde de Santa Maria, EPE",2025-06,25314,18630,2025,6
786.0,"[38.0146, -7.86863]",Alentejo,876.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2025-06,2301,1425,2025,6
83.0,"[40.217, -8.40991]",Central,1447.0,"Instituto Português Oncologia  F. Gentil - Centro, E.P.E.",2024-07,3152,1705,2024,7
294.0,"[38.739946, -9.161139]",Lisbon and Tagus Valley,3116.0,"Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.",2024-07,4923,1807,2024,7
564.0,"[39.822737, -7.499876]",Central,1675.0,"Unidade Local de Saúde Castelo Branco, EPE",2024-07,5006,3331,2024,7
1257.0,"[41.310331, -7.760103]",Northern,2832.0,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE",2024-07,10283,7451,2024,7
1805.0,"[41.1254463195801, -8.0]",Northern,6256.0,"Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE",2024-07,20031,13775,2024,7
389.0,"[40.130297609, -8.8606]",Central,855.0,"Unidade Local de Saúde do Baixo Mondego, EPE",2024-07,5030,4175,2024,7
501.0,"[38.039936, -8.731693]",Alentejo,930.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2024-07,5053,4123,2024,7
1523.0,"[38.7436332060551, -9.0]",Lisbon and Tagus Valley,3185.0,"Unidade Local de Saúde de Amadora/Sintra, EPE",2025-07,11201,8016,2025,7
1333.0,"[41.488574, -8.338685]",Northern,4787.0,"Unidade Local de Saúde do Alto Ave, EPE",2025-07,14067,9280,2025,7
1411.0,"[41.697519, -8.832517]",Northern,2611.0,"Unidade Local de Saúde do Alto Minho, EPE",2025-07,9457,6846,2025,7
919.0,"[41.802452, -6.768198]",Northern,1229.0,"Unidade Local de Saúde do Nordeste, EPE",2025-07,4964,3735,2025,7
1602.0,"[41.1971153671548, -8.0]",Northern,4961.0,"Unidade Local de Saúde do Tâmega e Sousa, EPE",2025-07,17645,12684,2025,7
1627.0,"[38.730076, -9.418207]",Lisbon and Tagus Valley,1403.0,"Hospital de Cascais, PPP",2024-08,9014,7611,2024,8
784.0,"[41.383183, -8.758784]",Northern,1766.0,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE",2024-08,4760,2994,2024,8
1488.0,"[40.636332, -8.654388]",Central,2902.0,"Unidade Local de Saúde da Região de Aveiro, EPE",2024-08,8967,6065,2024,8
1696.0,"[40.6509, -7.91039]",Central,4939.0,"Unidade Local de Saúde de Dão-Lafões, EPE",2024-08,17047,12108,2024,8
1474.0,"[41.310331, -7.760103]",Northern,3196.0,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE",2024-08,11475,8279,2024,8
1416.0,"[41.488574, -8.338685]",Northern,4815.0,"Unidade Local de Saúde do Alto Ave, EPE",2024-08,12902,8087,2024,8
1013.0,"[38.0146, -7.86863]",Alentejo,1074.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2024-08,2958,1884,2024,8
990.0,"[41.802452, -6.768198]",Northern,1382.0,"Unidade Local de Saúde do Nordeste, EPE",2024-08,5361,3979,2024,8
76.0,"[40.217, -8.40991]",Central,1804.0,"Instituto Português Oncologia  F. Gentil - Centro, E.P.E.",2025-08,3848,2044,2025,8
438.0,"[40.5309943471486, -7.0]",Central,1117.0,"Unidade Local de Saúde da Guarda, EPE",2025-08,2845,1728,2025,8
1604.0,"[40.636332, -8.654388]",Central,2574.0,"Unidade Local de Saúde da Região de Aveiro, EPE",2025-08,9044,6470,2025,8
4516.0,"[40.217426, -8.410075]",Central,9463.0,"Unidade Local de Saúde de Coimbra, EPE",2025-08,30561,21098,2025,8
3316.0,"[41.147283, -8.619536]",Northern,7070.0,"Unidade Local de Saúde de Santo António, EPE",2025-08,27691,20621,2025,8
1377.0,"[38.568838, -7.903064]",Alentejo,2768.0,"Unidade Local de Saúde do Alentejo Central, EPE",2025-08,13829,11061,2025,8
501.0,"[38.039936, -8.731693]",Alentejo,878.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2025-08,5758,4880,2025,8
882.0,"[39.605565, -8.404399]",Lisbon and Tagus Valley,2400.0,"Unidade Local de Saúde do Médio Tejo, EPE",2025-08,7844,5444,2025,8
1846.0,"[38.730076, -9.418207]",Lisbon and Tagus Valley,1573.0,"Hospital de Cascais, PPP",2024-09,10085,8512,2024,9
643.0,"[40.5309943471486, -7.0]",Central,1138.0,"Unidade Local de Saúde da Guarda, EPE",2024-09,2886,1748,2024,9
1965.0,"[38.7436332060551, -9.0]",Lisbon and Tagus Valley,4759.0,"Unidade Local de Saúde de Amadora/Sintra, EPE",2024-09,15377,10618,2024,9
154.0,"[41.533438, -8.616604]",Northern,650.0,"Unidade Local de Saúde de Barcelos/Esposende, EPE",2024-09,6399,5749,2024,9
1947.0,"[40.6509, -7.91039]",Central,5421.0,"Unidade Local de Saúde de Dão-Lafões, EPE",2024-09,19064,13643,2024,9
4349.0,"[41.1833, -8.60193]",Northern,15537.0,"Unidade Local de Saúde de São João, EPE",2024-09,43686,28149,2024,9
3434.0,"[37.024668, -7.928949]",Algarve,3932.0,"Unidade Local de Saúde do Algarve, EPE",2024-09,12900,8968,2024,9
508.0,"[40.130297609, -8.8606]",Central,1016.0,"Unidade Local de Saúde do Baixo Mondego, EPE",2024-09,6259,5243,2024,9
1010.0,"[39.232503, -8.715083]",Lisbon and Tagus Valley,1211.0,"Unidade Local de Saúde da Lezíria, EPE",2025-09,5574,4363,2025,9
2007.0,"[40.9295, -8.54567]",Northern,5625.0,"Unidade Local de Saúde de Entre Douro e Vouga, EPE",2025-09,21086,15461,2025,9
1247.0,"[41.181859, -8.663374]",Northern,2702.0,"Unidade Local de Saúde de Matosinhos, EPE",2025-09,13912,11210,2025,9
3730.0,"[41.147283, -8.619536]",Northern,8051.0,"Unidade Local de Saúde de Santo António, EPE",2025-09,31602,23551,2025,9
539.0,"[39.2999, -7.4267]",Alentejo,939.0,"Unidade Local de Saúde do Alto Alentejo, EPE",2025-09,3873,2934,2025,9
1718.0,"[41.488574, -8.338685]",Northern,6045.0,"Unidade Local de Saúde do Alto Ave, EPE",2025-09,18193,12148,2025,9
459.0,"[40.130297609, -8.8606]",Central,963.0,"Unidade Local de Saúde do Baixo Mondego, EPE",2025-09,6634,5671,2025,9
2117.0,"[41.1971153671548, -8.0]",Northern,6364.0,"Unidade Local de Saúde do Tâmega e Sousa, EPE",2025-09,22191,15827,2025,9
2048.0,"[38.730076, -9.418207]",Lisbon and Tagus Valley,1761.0,"Hospital de Cascais, PPP",2024-10,11476,9715,2024,10
170.0,"[41.533438, -8.616604]",Northern,736.0,"Unidade Local de Saúde de Barcelos/Esposende, EPE",2024-10,7121,6385,2024,10
2605.0,"[38.7084, -9.21711]",Lisbon and Tagus Valley,5874.0,"Unidade Local de Saúde de Lisboa Ocidental, EPE",2024-10,18245,12371,2024,10
5220.0,"[38.7500648498535, -9.0]",Lisbon and Tagus Valley,11334.0,"Unidade Local de Saúde de Santa Maria, EPE",2024-10,40427,29093,2024,10
2500.0,"[41.1254463195801, -8.0]",Northern,8963.0,"Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE",2024-10,28632,19669,2024,10
1086.0,"[39.605565, -8.404399]",Lisbon and Tagus Valley,3236.0,"Unidade Local de Saúde do Médio Tejo, EPE",2024-10,9604,6368,2024,10
605.0,"[41.1811, -8.60469]",Northern,5623.0,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",2024-11,10400,4777,2024,11
1754.0,"[38.529351, -8.881073]",Lisbon and Tagus Valley,2377.0,"Unidade Local de Saúde da Arrábida, EPE",2024-11,16100,13723,2024,11
2370.0,"[40.6509, -7.91039]",Central,6665.0,"Unidade Local de Saúde de Dão-Lafões, EPE",2024-11,23495,16830,2024,11
1546.0,"[41.181859, -8.663374]",Northern,3360.0,"Unidade Local de Saúde de Matosinhos, EPE",2024-11,16330,12970,2024,11
7997.0,"[38.7169, -9.13654]",Lisbon and Tagus Valley,12454.0,"Unidade Local de Saúde de São José, EPE",2024-11,41803,29349,2024,11
498.0,"[39.2999, -7.4267]",Alentejo,1226.0,"Unidade Local de Saúde do Alto Alentejo, EPE",2024-11,5120,3894,2024,11
1987.0,"[41.488574, -8.338685]",Northern,6794.0,"Unidade Local de Saúde do Alto Ave, EPE",2024-11,18306,11512,2024,11
1138.0,"[38.6527214050293, -9.0]",Lisbon and Tagus Valley,2217.0,"Unidade Local de Saúde do Arco Ribeirinho, EPE",2024-11,5787,3570,2024,11
491.0,"[38.739946, -9.161139]",Lisbon and Tagus Valley,5435.0,"Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.",2024-12,8473,3038,2024,12
662.0,"[41.1811, -8.60469]",Northern,6035.0,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",2024-12,11251,5216,2024,12
2304.0,"[40.636332, -8.654388]",Central,4345.0,"Unidade Local de Saúde da Região de Aveiro, EPE",2024-12,13593,9248,2024,12
2343.0,"[41.697519, -8.832517]",Northern,4125.0,"Unidade Local de Saúde do Alto Minho, EPE",2024-12,14591,10466,2024,12
1242.0,"[38.6527214050293, -9.0]",Lisbon and Tagus Valley,2398.0,"Unidade Local de Saúde do Arco Ribeirinho, EPE",2024-12,6293,3895,2024,12
671.0,"[40.130297609, -8.8606]",Central,1353.0,"Unidade Local de Saúde do Baixo Mondego, EPE",2024-12,8763,7410,2024,12
733.0,"[38.039936, -8.731693]",Alentejo,1355.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",2024-12,7632,6277,2024,12
1807.0,"[39.4055519104004, -9.0]",Lisbon and Tagus Valley,2104.0,"Unidade Local de Saúde do Oeste, EPE",2024-12,10094,7990,2024,12
87.0,"[38.014123, -7.8721227]",Alentejo,212.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2013-01,362,150,2013,1
110.0,"[39.3003425, -7.4263845]",Alentejo,235.0,"Unidade Local de Saúde do Norte Alentejano, EPE",2013-01,442,207,2013,1
99.0,"[40.5309916, -7.2734793]",Central,296.0,"Unidade Local de Saúde da Guarda, EPE",2013-01,709,413,2013,1
194.0,"[38.6658713, -9.1822554]",Lisbon and Tagus Valley,440.0,"Hospital Garcia de Orta, EPE",2013-01,868,428,2013,1
398.0,"[41.1831056, -8.6010558]",Northern,1408.0,"Centro Hospitalar Universitário de São João, EPE",2013-01,3252,1844,2013,1
490.0,"[41.1472498, -8.6172617]",Northern,1141.0,"Centro Hospitalar Universitário do Porto, EPE",2013-01,2640,1499,2013,1
200.0,"[41.56785, -8.398982]",Northern,871.0,"Hospital de Braga, PPP",2013-01,1990,1119,2013,1
183.0,"[38.5684861, -7.9032848]",Alentejo,974.0,"Hospital Espírito Santo de Évora, EPE",2013-02,2431,1457,2013,2
291.0,"[40.6362453, -8.6543716]",Central,599.0,"Centro Hospitalar do Baixo Vouga, EPE",2013-02,1538,939,2013,2
125.0,"[40.117897, -8.8586755]",Central,450.0,"Hospital Distrital da Figueira da Foz, EPE",2013-02,951,501,2013,2
704.0,"[38.708454, -9.216985]",Lisbon and Tagus Valley,1370.0,"Centro Hospitalar de Lisboa Ocidental, EPE",2013-02,2642,1272,2013,2
364.0,"[39.4054629, -9.1258493]",Lisbon and Tagus Valley,602.0,"Centro Hospitalar do Oeste, EPE",2013-02,1084,482,2013,2
754.0,"[41.1831056, -8.6010558]",Northern,2879.0,"Centro Hospitalar Universitário de São João, EPE",2013-02,6502,3623,2013,2
335.0,"[41.4387173, -8.3086907]",Northern,866.0,"Centro Hospitalar do Alto Ave, EPE",2013-02,1984,1118,2013,2
474.0,"[41.1094138, -8.5972617]",Northern,1581.0,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",2013-02,3712,2131,2013,2
297.0,"[41.8056532, -6.7888197]",Northern,516.0,"Unidade Local de Saúde do Nordeste, EPE",2013-02,972,456,2013,2
288.0,"[39.3003425, -7.4263845]",Alentejo,712.0,"Unidade Local de Saúde do Norte Alentejano, EPE",2013-03,1298,586,2013,3
979.0,"[37.0238973, -7.9281554]",Algarve,1636.0,"Centro Hospitalar Universitário do Algarve,EPE",2013-03,3165,1529,2013,3
230.0,"[40.2804158, -7.4922407]",Central,576.0,"Centro Hospitalar Universitário Cova da Beira, EPE",2013-03,1142,566,2013,3
1343.0,"[38.7422257, -9.2264834]",Lisbon and Tagus Valley,1685.0,"Hospital Professor Doutor Fernando Fonseca, EPE",2013-03,4218,2533,2013,3
544.0,"[38.6658713, -9.1822554]",Lisbon and Tagus Valley,1166.0,"Hospital Garcia de Orta, EPE",2013-03,2738,1572,2013,3
1372.0,"[41.1472498, -8.6172617]",Northern,3193.0,"Centro Hospitalar Universitário do Porto, EPE",2013-03,7404,4211,2013,3
80.0,"[41.1785642, -8.6062881]",Northern,1328.0,"Instituto Português Oncologia do Porto, EPE",2013-03,2482,1154,2013,3
393.0,"[41.1794456, -8.6745115]",Northern,1270.0,"Unidade Local de Saúde de Matosinhos, EPE",2013-03,2928,1658,2013,3
1291.0,"[37.0238973, -7.9281554]",Algarve,2187.0,"Centro Hospitalar Universitário do Algarve,EPE",2013-04,4304,2117,2013,4
301.0,"[40.2804158, -7.4922407]",Central,796.0,"Centro Hospitalar Universitário Cova da Beira, EPE",2013-04,1505,709,2013,4
383.0,"[40.5309916, -7.2734793]",Central,1023.0,"Unidade Local de Saúde da Guarda, EPE",2013-04,2622,1599,2013,4
378.0,"[38.6554005, -9.0592392]",Lisbon and Tagus Valley,827.0,"Centro Hospitalar Barreiro/Montijo, EPE",2013-04,1834,1007,2013,4
2457.0,"[38.7166948, -9.1371248]",Lisbon and Tagus Valley,5811.0,"Centro Hospitalar Universitário Lisboa Central, EPE",2013-04,12455,6644,2013,4
489.0,"[38.5283754, -8.8818638]",Lisbon and Tagus Valley,1199.0,"Centro Hospitalar de Setúbal, EPE",2013-04,2433,1234,2013,4
756.0,"[38.729006, -9.418267]",Lisbon and Tagus Valley,686.0,"Hospital de Cascais, PPP",2013-04,2098,1412,2013,4
1837.0,"[41.1472498, -8.6172617]",Northern,4266.0,"Centro Hospitalar Universitário do Porto, EPE",2013-04,9898,5632,2013,4
894.0,"[41.2494561, -8.264901]",Northern,2389.0,"Centro Hospitalar Tâmega e Sousa, EPE",2013-04,5792,3403,2013,4
