period,health_centre,location,tot_patients_waiting,pct_patients_normal_waiting_time,patients_normal_waiting_time,region,year,month
2018-03,"Hospital de Cascais, PPP","[38.729006, -9.418267]",2438,79.2,1930,Lisbon and Tagus Valley,2018,3
2018-03,"Hospital de Loures, PPP","[38.821455, -9.176296]",5329,77.3,4118,Lisbon and Tagus Valley,2018,3
2018-03,"Centro Hospitalar Tâmega e Sousa, EPE","[41.2494561, -8.264901]",5834,84.3,4918,Northern,2018,3
2018-03,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","[41.3031784, -7.7515252]",4974,71.4,3550,Northern,2018,3
2018-04,"Unidade Local de Saúde do Litoral Alentejano, EPE","[38.0162314, -8.6956768]",1423,75.5,1075,Alentejo,2018,4
2018-04,"Centro Hospitalar Universitário do Algarve,EPE","[37.0238973, -7.9281554]",8062,62.6,5050,Algarve,2018,4
2018-04,"Centro Hospitalar Cova da Beira, EPE","[40.2804158, -7.4922407]",1687,66.3,1118,Central,2018,4
2018-04,"Centro Hospitalar de Leiria, EPE","[39.7414812, -8.7982706]",6645,82.4,5478,Central,2018,4
2018-04,"Centro Hospitalar e Universitário de Coimbra, EPE","[40.2191523, -8.4098211]",16284,66.9,10892,Central,2018,4
2018-04,"Centro Hospitalar de Lisboa Ocidental, EPE","[38.708454, -9.216985]",5293,64.6,3419,Lisbon and Tagus Valley,2018,4
2018-04,"Hospital Fernando Fonseca, EPE","[38.7422257, -9.2264834]",6121,64.9,3974,Lisbon and Tagus Valley,2018,4
2018-04,"Hospital Garcia de Orta, EPE","[38.6658713, -9.1822554]",8235,53.9,4439,Lisbon and Tagus Valley,2018,4
2018-04,"Instituto Português Oncologia de Lisboa, EPE","[38.7396768, -9.1634516]",1362,67.7,922,Lisbon and Tagus Valley,2018,4
2018-04,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","[41.3031784, -7.7515252]",5012,72.2,3621,Northern,2018,4
2018-05,"Centro Hospitalar do Baixo Vouga, EPE","[40.6362453, -8.6543716]",4561,84.6,3858,Central,2018,5
2018-05,"Unidade Local de Saúde de Castelo Branco, EPE","[39.8212263, -7.4981271]",1270,84.7,1076,Central,2018,5
2018-05,"Hospital de Loures, PPP","[38.821455, -9.176296]",5255,78.0,4101,Lisbon and Tagus Valley,2018,5
2018-05,"Hospital de Vila Franca de Xira, PPP","[38.977235, -8.984506]",5480,61.2,3352,Lisbon and Tagus Valley,2018,5
2018-05,"Hospital Fernando Fonseca, EPE","[38.7422257, -9.2264834]",6480,68.5,4440,Lisbon and Tagus Valley,2018,5
2018-05,"Centro Hospitalar de São João, EPE","[41.1831056, -8.6010558]",11504,76.0,8747,Northern,2018,5
2018-05,"Hospital da Senhora da Oliveira, Guimarães, EPE","[41.4387173, -8.3086907]",5760,75.8,4368,Northern,2018,5
2018-05,"Unidade Local de Saúde do Alto Minho, EPE","[41.7056054, -8.8252713]",4121,83.8,3454,Northern,2018,5
2018-06,"Hospital Espírito Santo de Évora, EPE","[38.5684861, -7.9032848]",4152,65.1,2705,Alentejo,2018,6
2018-06,"Unidade Local de Saúde do Baixo Alentejo, EPE","[38.014123, -7.8721227]",1353,72.9,986,Alentejo,2018,6
2018-06,"Unidade Local de Saúde do Norte Alentejano, EPE","[39.3003425, -7.4263845]",1503,80.0,1203,Alentejo,2018,6
2018-06,"Hospital Distrital da Figueira da Foz, EPE","[40.117897, -8.8586755]",1581,97.6,1543,Central,2018,6
2018-06,"Centro Hospitalar de Lisboa Ocidental, EPE","[38.708454, -9.216985]",5715,68.9,3938,Lisbon and Tagus Valley,2018,6
2018-06,"Centro Hospitalar de Setúbal, EPE","[38.5283754, -8.8818638]",6777,64.4,4366,Lisbon and Tagus Valley,2018,6
2018-06,Centro Hospitalar do Oeste,"[39.4054629, -9.1258493]",3849,64.6,2485,Lisbon and Tagus Valley,2018,6
2018-06,"Centro Hospitalar Médio Tejo, EPE","[39.478072, -8.5404429]",4199,75.0,3151,Lisbon and Tagus Valley,2018,6
2018-06,"Hospital Distrital de Santarém, EPE","[39.2410946, -8.6937515]",3600,59.2,2133,Lisbon and Tagus Valley,2018,6
2018-06,"Centro Hospitalar de São João, EPE","[41.1831056, -8.6010558]",11459,76.8,8796,Northern,2018,6
2018-06,"Centro Hospitalar do Médio Ave, EPE","[41.3423984, -8.4802503]",2565,98.2,2519,Northern,2018,6
2018-06,"Centro Hospitalar Entre Douro e Vouga, EPE","[40.9293884, -8.5458794]",5680,80.8,4591,Northern,2018,6
2018-06,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","[41.1094138, -8.5972617]",7624,82.4,6281,Northern,2018,6
2018-06,"Unidade Local de Saúde de Matosinhos, EPE","[41.1794456, -8.6745115]",7350,80.3,5903,Northern,2018,6
2018-07,"Centro Hospitalar Universitário do Algarve,EPE","[37.0238973, -7.9281554]",7612,70.3,5355,Algarve,2018,7
2018-07,"Hospital Distrital da Figueira da Foz, EPE","[40.117897, -8.8586755]",1669,97.6,1629,Central,2018,7
2018-07,"Centro Hospitalar Médio Tejo, EPE","[39.478072, -8.5404429]",4198,74.5,3127,Lisbon and Tagus Valley,2018,7
2018-07,"Centro Hospitalar do Médio Ave, EPE","[41.3423984, -8.4802503]",2660,98.6,2624,Northern,2018,7
2018-07,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","[41.1094138, -8.5972617]",7590,82.8,6286,Northern,2018,7
2018-07,"Hospital da Senhora da Oliveira, Guimarães, EPE","[41.4387173, -8.3086907]",5899,78.3,4616,Northern,2018,7
2018-07,"Hospital Santa Maria Maior, EPE","[41.5324234, -8.6171561]",1384,98.8,1368,Northern,2018,7
2018-08,"Centro Hospitalar do Baixo Vouga, EPE","[40.6362453, -8.6543716]",4499,82.5,3712,Central,2018,8
2018-08,"Centro Hospitalar do Oeste, EPE","[39.4054629, -9.1258493]",3767,64.1,2416,Lisbon and Tagus Valley,2018,8
2018-08,"Hospital de Vila Franca de Xira, PPP","[38.977235, -8.984506]",5305,61.8,3276,Lisbon and Tagus Valley,2018,8
2018-08,"Centro Hospitalar de São João, EPE","[41.1831056, -8.6010558]",12308,76.1,9362,Northern,2018,8
2018-08,"Centro Hospitalar do Médio Ave, EPE","[41.3423984, -8.4802503]",2897,97.1,2814,Northern,2018,8
2018-08,"Instituto Português Oncologia do Porto, EPE","[41.1785642, -8.6062881]",1735,66.7,1157,Northern,2018,8
2018-09,"Centro Hospitalar Cova da Beira, EPE","[40.2804158, -7.4922407]",1894,65.8,1246,Central,2018,9
2018-09,"Centro Hospitalar Tondela-Viseu, EPE","[40.516364, -8.0827433]",10158,48.2,4900,Central,2018,9
2018-09,"Hospital Fernando Fonseca, EPE","[38.7422257, -9.2264834]",7241,66.7,4828,Lisbon and Tagus Valley,2018,9
2018-09,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","[41.1094138, -8.5972617]",7397,80.5,5953,Northern,2018,9
2018-09,"Unidade Local de Saúde de Matosinhos, EPE","[41.1794456, -8.6745115]",6707,78.5,5263,Northern,2018,9
2018-10,"Centro Hospitalar e Universitário de Coimbra, EPE","[40.2191523, -8.4098211]",17521,65.0,11391,Central,2018,10
2018-10,"Centro Hospitalar Tondela-Viseu, EPE","[40.516364, -8.0827433]",9946,47.7,4748,Central,2018,10
2018-10,"Unidade Local de Saúde da Guarda, EPE","[40.5309916, -7.2734793]",2205,72.0,1587,Central,2018,10
2018-10,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2795,72.2,2018,Lisbon and Tagus Valley,2018,10
2018-10,"Centro Hospitalar de Lisboa Central, EPE","[38.7166948, -9.1371248]",14947,60.2,8993,Lisbon and Tagus Valley,2018,10
2018-10,"Centro Hospitalar do Oeste, EPE","[39.4054629, -9.1258493]",3642,67.7,2465,Lisbon and Tagus Valley,2018,10
2018-10,"Hospital Distrital de Santarém, EPE","[39.2410946, -8.6937515]",3681,61.0,2247,Lisbon and Tagus Valley,2018,10
2018-10,"Centro Hospitalar do Porto, EPE","[41.1472498, -8.6172617]",7305,81.6,5962,Northern,2018,10
2018-11,"Unidade Local de Saúde do Litoral Alentejano, EPE","[38.0162314, -8.6956768]",1467,74.6,1095,Alentejo,2018,11
2018-11,"Unidade Local de Saúde da Guarda, EPE","[40.5309916, -7.2734793]",2129,72.7,1548,Central,2018,11
2018-11,"Unidade Local de Saúde de Castelo Branco, EPE","[39.8212263, -7.4981271]",1188,86.1,1023,Central,2018,11
2018-11,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2669,74.4,1986,Lisbon and Tagus Valley,2018,11
2018-11,"Centro Hospitalar Lisboa Norte, EPE","[38.7500861, -9.1616116]",10198,67.7,6901,Lisbon and Tagus Valley,2018,11
2018-11,"Hospital de Cascais, PPP","[38.729006, -9.418267]",2237,89.7,2007,Lisbon and Tagus Valley,2018,11
2018-11,"Hospital de Loures, PPP","[38.821455, -9.176296]",5744,74.5,4277,Lisbon and Tagus Valley,2018,11
2018-11,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","[41.3031784, -7.7515252]",4981,69.6,3465,Northern,2018,11
2018-11,"Hospital de Braga, PPP","[41.56785, -8.398982]",18141,66.0,11968,Northern,2018,11
2018-11,"Hospital Santa Maria Maior, EPE","[41.5324234, -8.6171561]",1314,99.2,1304,Northern,2018,11
2018-11,"Unidade Local de Saúde do Alto Minho, EPE","[41.7056054, -8.8252713]",4269,83.8,3578,Northern,2018,11
2018-12,"Hospital Espírito Santo de Évora, EPE","[38.5684861, -7.9032848]",3415,70.7,2415,Alentejo,2018,12
2018-12,"Centro Hospitalar Universitário do Algarve,EPE","[37.0238973, -7.9281554]",6967,70.9,4941,Algarve,2018,12
2018-12,"Unidade Local de Saúde da Guarda, EPE","[40.5309916, -7.2734793]",2109,70.6,1488,Central,2018,12
2018-12,"Hospital de Cascais, PPP","[38.729006, -9.418267]",2285,89.1,2035,Lisbon and Tagus Valley,2018,12
2018-12,"Hospital de Vila Franca de Xira, PPP","[38.977235, -8.984506]",5380,66.6,3584,Lisbon and Tagus Valley,2018,12
2018-12,"Hospital Fernando Fonseca, EPE","[38.7422257, -9.2264834]",7473,66.9,4996,Lisbon and Tagus Valley,2018,12
2018-12,"Centro Hospitalar de São João, EPE","[41.1831056, -8.6010558]",15412,72.5,11174,Northern,2018,12
2018-12,"Centro Hospitalar Tâmega e Sousa, EPE","[41.2494561, -8.264901]",5023,83.9,4213,Northern,2018,12
2018-12,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","[41.1094138, -8.5972617]",7513,80.0,6011,Northern,2018,12
2018-12,"Hospital da Senhora da Oliveira, Guimarães, EPE","[41.4387173, -8.3086907]",5957,76.0,4529,Northern,2018,12
2019-01,"Unidade Local de Saúde do Norte Alentejano, EPE","[39.3003425, -7.4263845]",1450,83.7,1213,Alentejo,2019,1
2019-01,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2571,72.1,1853,Lisbon and Tagus Valley,2019,1
2019-01,"Centro Hospitalar Médio Tejo, EPE","[39.478072, -8.5404429]",3821,74.1,2832,Lisbon and Tagus Valley,2019,1
2019-01,"Hospital de Cascais, PPP","[38.729006, -9.418267]",2236,88.0,1967,Lisbon and Tagus Valley,2019,1
2019-01,"Centro Hospitalar do Médio Ave, EPE","[41.3423984, -8.4802503]",2476,90.5,2240,Northern,2019,1
2019-01,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","[41.3031784, -7.7515252]",4694,71.6,3360,Northern,2019,1
2019-01,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","[41.1094138, -8.5972617]",7710,80.8,6227,Northern,2019,1
2019-01,"Hospital Santa Maria Maior, EPE","[41.5324234, -8.6171561]",1248,99.3,1239,Northern,2019,1
2019-02,"Hospital Espírito Santo de Évora, EPE","[38.5684861, -7.9032848]",3555,74.2,2638,Alentejo,2019,2
2019-02,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2586,75.1,1941,Lisbon and Tagus Valley,2019,2
2019-02,"Centro Hospitalar do Oeste, EPE","[39.4054629, -9.1258493]",3011,71.3,2148,Lisbon and Tagus Valley,2019,2
2019-02,"Hospital de Loures, PPP","[38.821455, -9.176296]",6043,74.9,4527,Lisbon and Tagus Valley,2019,2
2019-02,"Hospital da Senhora da Oliveira, Guimarães, EPE","[41.4387173, -8.3086907]",5839,78.1,4559,Northern,2019,2
2019-02,"Hospital de Braga, PPP","[41.56785, -8.398982]",19247,65.8,12659,Northern,2019,2
2019-03,"Unidade Local de Saúde do Norte Alentejano, EPE","[39.3003425, -7.4263845]",1356,82.9,1124,Alentejo,2019,3
2019-03,"Centro Hospitalar e Universitário de Coimbra, EPE","[40.2191523, -8.4098211]",19053,61.6,11737,Central,2019,3
2019-03,"Centro Hospitalar Tondela-Viseu, EPE","[40.516364, -8.0827433]",10297,44.8,4613,Central,2019,3
2019-03,"Hospital de Cascais, PPP","[38.729006, -9.418267]",2235,87.7,1960,Lisbon and Tagus Valley,2019,3
2019-03,"Hospital de Loures, PPP","[38.821455, -9.176296]",5976,74.6,4456,Lisbon and Tagus Valley,2019,3
2019-03,"Centro Hospitalar do Médio Ave, EPE","[41.3423984, -8.4802503]",2554,92.3,2358,Northern,2019,3
2019-03,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","[41.3031784, -7.7515252]",4618,74.8,3452,Northern,2019,3
2019-03,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","[41.1094138, -8.5972617]",8198,81.5,6678,Northern,2019,3
2019-04,"Hospital Distrital da Figueira da Foz, EPE","[40.117897, -8.8586755]",1662,91.5,1520,Central,2019,4
2019-04,"Centro Hospitalar de Setúbal, EPE","[38.5283754, -8.8818638]",7062,63.0,4448,Lisbon and Tagus Valley,2019,4
2019-04,"Hospital Distrital de Santarém, EPE","[39.2410946, -8.6937515]",3826,63.4,2425,Lisbon and Tagus Valley,2019,4
2019-04,"Instituto Português Oncologia de Lisboa, EPE","[38.7396768, -9.1634516]",1595,61.9,987,Lisbon and Tagus Valley,2019,4
2019-05,"Hospital Espírito Santo de Évora, EPE","[38.5684861, -7.9032848]",3457,74.5,2575,Alentejo,2019,5
2019-05,"Centro Hospitalar Universitário do Algarve,EPE","[37.0238973, -7.9281554]",7752,75.5,5855,Algarve,2019,5
2019-05,"Centro Hospitalar do Baixo Vouga, EPE","[40.6362453, -8.6543716]",3538,90.2,3192,Central,2019,5
2019-05,"Centro Hospitalar Tondela-Viseu, EPE","[40.516364, -8.0827433]",10511,48.1,5059,Central,2019,5
2019-05,"Hospital Distrital da Figueira da Foz, EPE","[40.117897, -8.8586755]",1415,91.2,1290,Central,2019,5
2019-05,"Centro Hospitalar de Lisboa Ocidental, EPE","[38.708454, -9.216985]",5510,58.7,3232,Lisbon and Tagus Valley,2019,5
2019-05,"Centro Hospitalar do Oeste, EPE","[39.4054629, -9.1258493]",2878,71.9,2070,Lisbon and Tagus Valley,2019,5
2019-05,"Centro Hospitalar Lisboa Norte, EPE","[38.7500861, -9.1616116]",10824,58.8,6364,Lisbon and Tagus Valley,2019,5
2019-05,"Hospital de Cascais, PPP","[38.729006, -9.418267]",2529,88.3,2234,Lisbon and Tagus Valley,2019,5
2019-05,"Hospital de Loures, PPP","[38.821455, -9.176296]",6122,76.1,4657,Lisbon and Tagus Valley,2019,5
2019-05,"Hospital de Vila Franca de Xira, PPP","[38.977235, -8.984506]",5410,69.9,3782,Lisbon and Tagus Valley,2019,5
2019-05,"Centro Hospitalar de São João, EPE","[41.1831056, -8.6010558]",14890,74.9,11154,Northern,2019,5
2019-05,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","[41.1094138, -8.5972617]",8172,81.0,6620,Northern,2019,5
2019-05,"Hospital Santa Maria Maior, EPE","[41.5324234, -8.6171561]",1110,100.0,1110,Northern,2019,5
2019-05,"Instituto Português Oncologia do Porto, EPE","[41.1785642, -8.6062881]",1655,67.5,1117,Northern,2019,5
2019-05,"Unidade Local de Saúde de Matosinhos, EPE","[41.1794456, -8.6745115]",6055,83.5,5057,Northern,2019,5
2019-06,"Centro Hospitalar Universitário do Algarve,EPE","[37.0238973, -7.9281554]",7712,75.7,5841,Algarve,2019,6
2019-06,"Unidade Local de Saúde da Guarda, EPE","[40.5309916, -7.2734793]",2026,74.8,1516,Central,2019,6
2019-06,"Unidade Local de Saúde de Castelo Branco, EPE","[39.8212263, -7.4981271]",1016,91.5,930,Central,2019,6
2019-06,"Centro Hospitalar do Oeste, EPE","[39.4054629, -9.1258493]",2916,73.8,2151,Lisbon and Tagus Valley,2019,6
2019-06,"Centro Hospitalar Entre Douro e Vouga, EPE","[40.9293884, -8.5458794]",6481,85.5,5544,Northern,2019,6
2019-06,"Hospital de Braga, PPP","[41.56785, -8.398982]",18651,63.4,11831,Northern,2019,6
2019-06,"Instituto Português Oncologia do Porto, EPE","[41.1785642, -8.6062881]",1670,66.0,1103,Northern,2019,6
2019-06,"Unidade Local de Saúde de Matosinhos, EPE","[41.1794456, -8.6745115]",5834,83.2,4855,Northern,2019,6
2019-07,"Centro Hospitalar e Universitário de Coimbra, EPE","[40.2191523, -8.4098211]",18826,61.6,11597,Central,2019,7
2019-07,"Hospital Distrital da Figueira da Foz, EPE","[40.117897, -8.8586755]",1679,93.6,1571,Central,2019,7
2019-07,"Unidade Local de Saúde de Castelo Branco, EPE","[39.8212263, -7.4981271]",1066,92.4,985,Central,2019,7
2019-07,"Centro Hospitalar Lisboa Norte, EPE","[38.7500861, -9.1616116]",11259,56.9,6403,Lisbon and Tagus Valley,2019,7
2019-07,"Centro Hospitalar do Porto, EPE","[41.1472498, -8.6172617]",9248,78.9,7297,Northern,2019,7
2019-07,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","[41.1094138, -8.5972617]",8159,78.0,6365,Northern,2019,7
2019-07,"Hospital da Senhora da Oliveira, Guimarães, EPE","[41.4387173, -8.3086907]",5408,78.4,4239,Northern,2019,7
2019-07,"Unidade Local de Saúde do Alto Minho, EPE","[41.7056054, -8.8252713]",3834,88.7,3401,Northern,2019,7
2019-08,"Centro Hospitalar Universitário do Algarve,EPE","[37.0238973, -7.9281554]",7773,72.0,5594,Algarve,2019,8
2019-08,"Centro Hospitalar Cova da Beira, EPE","[40.2804158, -7.4922407]",1886,72.9,1375,Central,2019,8
2019-08,"Unidade Local de Saúde de Castelo Branco, EPE","[39.8212263, -7.4981271]",1195,90.5,1081,Central,2019,8
2019-08,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2673,78.1,2088,Lisbon and Tagus Valley,2019,8
2019-08,"Centro Hospitalar de Lisboa Ocidental, EPE","[38.708454, -9.216985]",5775,55.7,3218,Lisbon and Tagus Valley,2019,8
2019-08,"Hospital de Cascais, PPP","[38.729006, -9.418267]",2570,84.4,2170,Lisbon and Tagus Valley,2019,8
2019-08,"Hospital Garcia de Orta, EPE","[38.6658713, -9.1822554]",10394,44.4,4618,Lisbon and Tagus Valley,2019,8
2019-08,"Instituto Português Oncologia de Lisboa, EPE","[38.7396768, -9.1634516]",1831,50.5,924,Lisbon and Tagus Valley,2019,8
2019-08,"Centro Hospitalar do Médio Ave, EPE","[41.3423984, -8.4802503]",2800,90.2,2527,Northern,2019,8
2019-09,"Unidade Local de Saúde do Litoral Alentejano, EPE","[38.0162314, -8.6956768]",2085,68.7,1432,Alentejo,2019,9
2019-09,"Centro Hospitalar Cova da Beira, EPE","[40.2804158, -7.4922407]",1798,75.6,1360,Central,2019,9
2019-09,"Unidade Local de Saúde da Guarda, EPE","[40.5309916, -7.2734793]",2056,73.4,1509,Central,2019,9
2019-09,"Unidade Local de Saúde de Castelo Branco, EPE","[39.8212263, -7.4981271]",1186,89.4,1060,Central,2019,9
2019-09,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2667,75.4,2012,Lisbon and Tagus Valley,2019,9
2019-09,"Centro Hospitalar de Setúbal, EPE","[38.5283754, -8.8818638]",6741,56.9,3837,Lisbon and Tagus Valley,2019,9
2019-09,"Centro Hospitalar Médio Tejo, EPE","[39.478072, -8.5404429]",3687,77.2,2846,Lisbon and Tagus Valley,2019,9
2019-09,"Hospital de Loures, PPP","[38.821455, -9.176296]",6672,68.5,4568,Lisbon and Tagus Valley,2019,9
2019-09,"Hospital Garcia de Orta, EPE","[38.6658713, -9.1822554]",10234,44.5,4554,Lisbon and Tagus Valley,2019,9
2019-09,"Instituto Português Oncologia de Lisboa, EPE","[38.7396768, -9.1634516]",1642,53.5,879,Lisbon and Tagus Valley,2019,9
2019-09,"Centro Hospitalar de São João, EPE","[41.1831056, -8.6010558]",13258,70.0,9280,Northern,2019,9
2019-09,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","[41.3828711, -8.7589945]",1038,100.0,1038,Northern,2019,9
2019-09,"Unidade Local de Saúde de Matosinhos, EPE","[41.1794456, -8.6745115]",6124,80.1,4905,Northern,2019,9
2019-09,"Unidade Local de Saúde do Alto Minho, EPE","[41.7056054, -8.8252713]",3994,87.8,3508,Northern,2019,9
2019-10,"Hospital Espírito Santo de Évora, EPE","[38.5684861, -7.9032848]",3178,72.7,2309,Alentejo,2019,10
2019-10,"Centro Hospitalar Cova da Beira, EPE","[40.2804158, -7.4922407]",1757,79.0,1388,Central,2019,10
2019-10,"Centro Hospitalar de Leiria, EPE","[39.7414812, -8.7982706]",8068,72.9,5884,Central,2019,10
2019-10,"Centro Hospitalar Médio Tejo, EPE","[39.478072, -8.5404429]",3799,77.8,2957,Lisbon and Tagus Valley,2019,10
2019-10,"Hospital Garcia de Orta, EPE","[38.6658713, -9.1822554]",10130,48.6,4921,Lisbon and Tagus Valley,2019,10
2019-10,"Instituto Português Oncologia de Lisboa, EPE","[38.7396768, -9.1634516]",1611,57.5,927,Lisbon and Tagus Valley,2019,10
2019-10,"Centro Hospitalar de São João, EPE","[41.1831056, -8.6010558]",13240,72.8,9636,Northern,2019,10
2019-11,"Centro Hospitalar Universitário do Algarve,EPE","[37.0238973, -7.9281554]",8277,69.9,5783,Algarve,2019,11
2019-11,"Unidade Local de Saúde de Castelo Branco, EPE","[39.8212263, -7.4981271]",1173,90.6,1063,Central,2019,11
2019-11,"Hospital Distrital de Santarém, EPE","[39.2410946, -8.6937515]",4356,58.5,2550,Lisbon and Tagus Valley,2019,11
2019-11,"Hospital Fernando Fonseca, EPE","[38.7422257, -9.2264834]",6073,60.5,3676,Lisbon and Tagus Valley,2019,11
2019-11,"Unidade Local de Saúde de Matosinhos, EPE","[41.1794456, -8.6745115]",5998,81.5,4891,Northern,2019,11
2019-12,"Centro Hospitalar de Leiria, EPE","[39.7414812, -8.7982706]",8006,76.0,6085,Central,2019,12
2019-12,"Centro Hospitalar do Baixo Vouga, EPE","[40.6362453, -8.6543716]",3501,91.1,3189,Central,2019,12
2019-12,"Centro Hospitalar e Universitário de Coimbra, EPE","[40.2191523, -8.4098211]",18637,58.5,10894,Central,2019,12
2019-12,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2950,74.1,2186,Lisbon and Tagus Valley,2019,12
2019-12,"Centro Hospitalar de Lisboa Ocidental, EPE","[38.708454, -9.216985]",6148,56.9,3496,Lisbon and Tagus Valley,2019,12
2019-12,"Hospital de Vila Franca de Xira, PPP","[38.977235, -8.984506]",4895,70.9,3473,Lisbon and Tagus Valley,2019,12
2019-12,"Hospital Garcia de Orta, EPE","[38.6658713, -9.1822554]",10519,50.6,5326,Lisbon and Tagus Valley,2019,12
2019-12,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","[41.3828711, -8.7589945]",840,99.2,833,Northern,2019,12
2019-12,"Hospital da Senhora da Oliveira, Guimarães, EPE","[41.4387173, -8.3086907]",5064,82.0,4152,Northern,2019,12
2019-12,"Hospital de Braga, EPE","[41.56785, -8.398982]",18230,57.1,10418,Northern,2019,12
2019-12,"Unidade Local de Saúde do Nordeste, EPE","[41.8056532, -6.7888197]",1746,83.0,1450,Northern,2019,12
2020-01,"Unidade Local de Saúde do Litoral Alentejano, EPE","[38.0162314, -8.6956768]",1706,72.5,1237,Alentejo,2020,1
2020-01,"Centro Hospitalar e Universitário de Coimbra, EPE","[40.2191523, -8.4098211]",19726,57.0,11246,Central,2020,1
2020-01,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",3020,72.8,2198,Lisbon and Tagus Valley,2020,1
2020-01,"Centro Hospitalar de Lisboa Central, EPE","[38.7166948, -9.1371248]",15827,53.7,8502,Lisbon and Tagus Valley,2020,1
2020-01,"Centro Hospitalar do Porto, EPE","[41.1472498, -8.6172617]",11638,70.4,8189,Northern,2020,1
2020-01,"Unidade Local de Saúde de Matosinhos, EPE","[41.1794456, -8.6745115]",6116,81.8,5000,Northern,2020,1
2020-02,"Hospital Espírito Santo de Évora, EPE","[38.5684861, -7.9032848]",3409,77.4,2639,Alentejo,2020,2
2020-02,"Centro Hospitalar Cova da Beira, EPE","[40.2804158, -7.4922407]",1566,75.0,1175,Central,2020,2
